Название,Жанр,Режиссер,Страна,Год,IMDB
Салли Гарднер в галопе,,,,1878, 
Сцена в саду Раундхэй,Документальное кино,Луи Лепренс,Англия,14 октября,7.3
Защита (Запрещено расклеивать объявления),"комедийный фильм,немое кино",Жорж Мельес,Франция,1896,4.9
Замок дьявола,"фантастика,ужасы",Жорж Мельес,Франция,1896,6.7
Китайский опиумный притон,Немое кино,Уильям Диксон,США,1894,5.0
Карменсита,Документальное кино,Уильям Диксон,США,1894,5.7
"Человек, поворачивающий за угол","немое кино,документальный фильм",Луи Лепренс,Франция,1887,5.2
Бой Леонарда против Кушинга,"немое кино,документальный фильм,[d]","Уильям Диксон,Уильям Хейз",США,1894,5.0
Лошадь и всадник прыгают через препятствие,учебный фильм,Оттомар Аншютц,Германская империя,1888,5.7
Игра в снежки,"документальное кино,комедия",Луи Люмьер,Франция,1896,6.7
Аккордеонист,Документальное кино,Луи Лепренс,Великобритания,1888,5.5
Движение транспорта по мосту Лидс,Документальное кино,Луи Лепренс,Англия,1888,6.6
Вокруг кабинки,мультфильм,Эмиль Рейно,Франция,1894,6.1
Драгуны переплывают Сону,документальный фильм,"Луи Люмьер,Огюст Люмьер",Франция,1896,5.3
Бивак,Документальное кино,Жорж Мельес,Франция,1896,4.0
Грабители,криминальный фильм,Уильям Поль,Великобритания,1896,5.2
Бедный Пьеро,мультфильм,Эмиль Рейно,Франция,1892,6.5
Клоун и его собачки,мультфильм,Эмиль Рено,"Франция,[1]",1892,5.7
Прибытие поезда,документальный,"Огюст Люмьер,Луи Люмьер",Франция,,7.4
Кружка пива,мультфильм,Эмиль Рейно,Франция,1892,5.4
Женщина издалека,"военный фильм,драма",Тахир Сабиров,СССР,1978, 
Прибытие поезда на вокзал в Венсене,Документальное кино,Жорж Мельес,Франция,1896,4.9
Гранд-канал в Венеции,документальное кино,Александр Промио,Франция,1896,6.3
Лето солнечного затмения,фильм-драма,Хиромити Хорикава,Япония,, 
Рип ван Винкль,драма,Уильям Диксон,,1896,4.8
Возвращение мужа,комедия,Уильям Поль,Великобритания,1896,5.1
Под небом древних пустынь,,"Шнейдеров, Владимир Адольфович",СССР,1958, 
Dancing Darkies,документальный фильм,Уильям К.Л. Диксон,США,1896,7.4
Рип просыпается,драма,Уильям Диксон,США,1896,4.4
Новобрачная отходит ко сну,эротика,Альбер Киршнер,Франция,1896,5.3
Исчезновение дамы в театре Робер-Уден,немое кино,Жорж Мельес,Франция,1896,6.3
Лошадиная ярмарка в Барнете,Документальное кино,Роберт Уильям Поль,Великобритания,1896,3.7
Лодки покидают порт в Трувилле,Документальное кино,Жорж Мельес,Франция,1896,4.1
Золотой полоз,"драма,фэнтези,семейный фильм",Владимир Макеранец,Россия,2007, 
Завтрак младенца,Документальный,Луи Люмьер,Франция,1895,5.9
"Знаток муси
",,,,1999 год, 
Выход рабочих с фабрики,Документальный,Луи Люмьер,Франция,1895,6.9
Президент Маккинли дома,документальный фильм,Уильям К.Л. Диксон,США,1896,4.7
Вольтижировка,Документальный,Луи Люмьер,Франция,1895,5.5
Кошмар,фильм ужасов,Жорж Мельес,Франция,1896,6.5
Дерби,"Документальное кино,спортивный фильм",Бирт Акрес,Великобритания,1895,4.8
Спасибо,Комедия,Дмитрий Томашпольский,Россия,2003, 
Пушкин и Пущин,"документальный фильм,исторический фильм",Марина Голдовская,СССР,1980, 
Путь к медалям,драма,", ,Никита Орлов","СССР,Япония",, 
Strangulation Blues,драма,Леос Каракс,Франция,1980, 
,хард-рок,,,, 
Keep smiling!,документальный,Аскольд Саулитис,Латвия,2003, 
Мастерские в Ла-Сьота,документальный,Луи Люмьер,Франция,1896,5.2
Морское купание,документальное кино,Жорж Мельес,Франция,1896,4.5
Поцелуй,мелодрама,Уильям Хейс,США,1896,5.9
Последний патрон,военный фильм,Жорж Мельес,Франция,1897,5.3
Фауст и Маргарита,фантастика,Жорж Мельес,Франция,1897,4.8
Арест карманника,детективный фильм,Бирт Акрес,Великобритания,1895,4.8
"
",,,,13 апреля, 
Бушующее море у Дувра,документальный фильм,Бирт Акрес,Великобритания,1895,5.2
Смерть Марата,исторический фильм,Жорж Гато,Франция,1897,4.9
Отправление на поезде из Иерусалима,Документальное кино,Луи Люмьер,Франция,1897,6.2
Бокс с кенгуру,документальный фильм,Макс Складановский,Германия,1895,5.2
Акробатическая смесь,"хроника,короткометражка",Макс Складановский,Германская империя,1895,5.2
Апофеоз,короткометражка,Макс Складановский,Германская империя,1895,4.3
Заколдованная гостиница,комедия,Жорж Мельес,Франция,1897,6.4
Peeping Tom,"драматический фильм,комедия",,США,1897,5.8
Кабинет Мефистофеля,фильм ужасов,Жорж Мельес,Франция,1897,5.1
Замок с привидениями,фильм ужасов,Жорж Мельес,Франция,1897,6.3
Бокс,документальный фильм,"Макс Складановский,Эмиль Складановский",Германия,1895,5.1
Регата Хенли,"Документальное кино,спортивный фильм",Бирт Акрес,Великобритания,1897,3.9
Ограбление,комедия,Уильям Поль,Великобритания,1897,5.4
Взятие Турнавоса,военный фильм,Жорж Мельес,Франция,1897,5.4
Рентгеновские лучи,комедия,Джордж Альберт Смит,Великобритания,1897,6.1
Танец Лои Фуллер,документальный фильм,Уильям Диксон,США,1895,6.5
Ужасная ночь,"ужасы,комедия,короткометражка",Жорж Мельес,Франция,1896,5.7
Транзит Венеры,"документальный фильм,мультфильм,немое кино","Пьер Жюль Сезар Жансен,[1]","Япония,Франция",9 декабря,6.8
Новая драка подушками,комедия,Зигмунд Любин,США,1897,4.9
Между Дувром и Кале,короткометражный,Жорж Мельес,Франция,1897,5.4
Площадь Корделье в Лионе,Документальный,Луи Люмьер,Франция,1895,5.6
Партия в карты,Документальное кино,Жорж Мельес,Франция,1896,5.1
Прибытие делегатов на фотоконгресс в Лионе,Документальный,Луи Люмьер,Франция,1895,5.7
Прыжок через одеяло,Документальный,Луи Люмьер,Франция,1895,5.5
Морское купание,документальное кино,Луи Люмьер,Франция,1895,5.7
Кузнецы,документальный,Луи Люмьер,Франция,1895,5.1
Ловля золотых рыбок,Документальный,Луи Люмьер,Франция,1895,5.1
Политый поливальщик,комедия,Луи Люмьер,Франция,1895,7.1
Езда на гренландских собаках,Документальное кино,Петер Эльфельт,Дания,1897,5.0
Механический мясник,"Комедия,фантастика",Луи Люмьер,Франция,1895,5.9
Бой Корбетта и Фитцсиммонса,документальный фильм,Энок Дж. Ректор,США,1897,5.3
